family,category,source,license,path,latin_support,validation_status,failure_reason,usable,slug,catalog_category,metadata_category,metadata_url,source_url,license_url,license_path,subsets
Urbanist,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Urbanist__Urbanist[wght].ttf,True,passed,,True,urbanist,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/urbanist/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/urbanist/Urbanist%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/urbanist/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Urbanist__OFL.txt,"latin,latin-ext,menu"
Lexend,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Lexend__Lexend[wght].ttf,True,passed,,True,lexend,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/lexend/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/lexend/Lexend%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/lexend/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Lexend__OFL.txt,"latin,latin-ext,menu,vietnamese"
Oxygen,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Oxygen__Oxygen-Regular.ttf,True,passed,,True,oxygen,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/oxygen/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/oxygen/Oxygen-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/oxygen/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Oxygen__OFL.txt,"latin,latin-ext,menu"
Maven Pro,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Maven_Pro__MavenPro[wght].ttf,True,passed,,True,mavenpro,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/mavenpro/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/mavenpro/MavenPro%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/mavenpro/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Maven_Pro__OFL.txt,"latin,latin-ext,menu,vietnamese"
Exo 2,sans_serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/sans_serif/Exo_2__Exo2[wght].ttf,True,passed,,True,exo2,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/exo2/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/exo2/Exo2%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/exo2/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Exo_2__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Merriweather,serif,Google Fonts official repository,OFL,"data/raw/fonts/google_fonts/serif/Merriweather__Merriweather[opsz,wdth,wght].ttf",True,passed,,True,merriweather,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/merriweather/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/merriweather/Merriweather%5Bopsz%2Cwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/merriweather/OFL.txt,data/raw/fonts/google_fonts/serif/Merriweather__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Lora,serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/serif/Lora__Lora[wght].ttf,True,passed,,True,lora,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/lora/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/lora/Lora%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/lora/OFL.txt,data/raw/fonts/google_fonts/serif/Lora__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,math,menu,symbols,vietnamese"
Playfair Display,serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/serif/Playfair_Display__PlayfairDisplay[wght].ttf,True,passed,,True,playfairdisplay,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/playfairdisplay/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/playfairdisplay/PlayfairDisplay%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/playfairdisplay/OFL.txt,data/raw/fonts/google_fonts/serif/Playfair_Display__OFL.txt,"cyrillic,latin,latin-ext,menu,vietnamese"
Noto Serif,serif,Google Fonts official repository,OFL,"data/raw/fonts/google_fonts/serif/Noto_Serif__NotoSerif[wdth,wght].ttf",True,passed,,True,notoserif,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/notoserif/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/notoserif/NotoSerif%5Bwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/notoserif/OFL.txt,data/raw/fonts/google_fonts/serif/Noto_Serif__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,math,menu,vietnamese"
Source Serif 4,serif,Google Fonts official repository,OFL,"data/raw/fonts/google_fonts/serif/Source_Serif_4__SourceSerif4[opsz,wght].ttf",True,passed,,True,sourceserif4,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/sourceserif4/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/sourceserif4/SourceSerif4%5Bopsz%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/sourceserif4/OFL.txt,data/raw/fonts/google_fonts/serif/Source_Serif_4__OFL.txt,"cyrillic,cyrillic-ext,greek,latin,latin-ext,menu,vietnamese"
Roboto Slab,serif,Google Fonts official repository,APACHE2,data/raw/fonts/google_fonts/serif/Roboto_Slab__RobotoSlab[wght].ttf,True,passed,,True,robotoslab,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/apache/robotoslab/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/apache/robotoslab/RobotoSlab%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/apache/robotoslab/LICENSE.txt,data/raw/fonts/google_fonts/serif/Roboto_Slab__LICENSE.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
EB Garamond,serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/serif/EB_Garamond__EBGaramond[wght].ttf,True,passed,,True,ebgaramond,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/ebgaramond/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/ebgaramond/EBGaramond%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/ebgaramond/OFL.txt,data/raw/fonts/google_fonts/serif/EB_Garamond__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
Cormorant Garamond,serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/serif/Cormorant_Garamond__CormorantGaramond[wght].ttf,True,passed,,True,cormorantgaramond,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/cormorantgaramond/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/cormorantgaramond/CormorantGaramond%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/cormorantgaramond/OFL.txt,data/raw/fonts/google_fonts/serif/Cormorant_Garamond__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Vollkorn,serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/serif/Vollkorn__Vollkorn[wght].ttf,True,passed,,True,vollkorn,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/vollkorn/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/vollkorn/Vollkorn%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/vollkorn/OFL.txt,data/raw/fonts/google_fonts/serif/Vollkorn__OFL.txt,"cyrillic,cyrillic-ext,greek,latin,latin-ext,menu,vietnamese"
Bitter,serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/serif/Bitter__Bitter[wght].ttf,True,passed,,True,bitter,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/bitter/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/bitter/Bitter%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/bitter/OFL.txt,data/raw/fonts/google_fonts/serif/Bitter__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Crimson Pro,serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/serif/Crimson_Pro__CrimsonPro[wght].ttf,True,passed,,True,crimsonpro,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/crimsonpro/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/crimsonpro/CrimsonPro%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/crimsonpro/OFL.txt,data/raw/fonts/google_fonts/serif/Crimson_Pro__OFL.txt,"latin,latin-ext,menu,vietnamese"
Libre Baskerville,serif,Google Fonts official repository,OFL,data/raw/fonts/google_fonts/serif/Libre_Baskerville__LibreBaskerville[wght].ttf,True,passed,,True,librebaskerville,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/librebaskerville/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/librebaskerville/LibreBaskerville%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/librebaskerville/OFL.txt,data/raw/fonts/google_fonts/serif/Libre_Baskerville__OFL.txt,"latin,latin-ext,menu"
