left_image,right_image,hamming_distance,same_family,same_split,same_text
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0005.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0020.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0005.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0055.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0005.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0074.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0006.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0010.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0006.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0048.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0006.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0054.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0007.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0046.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0008.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0046.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0009.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0032.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0009.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0043.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0009.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0089.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0012.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0018.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0013.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0049.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0014.png,data/v2/processed/fontsense_v2/images/train/serif/Rokkitt/Rokkitt_0005.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0015.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0042.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0018.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0098.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0019.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0051.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0020.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0056.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0021.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0087.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0026.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0069.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0026.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0088.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0030.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0072.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0033.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0062.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0034.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0036.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0034.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0039.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0034.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0051.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0034.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0081.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0039.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0071.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0042.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0043.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0042.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0080.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0043.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0047.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0044.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0048.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0044.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0071.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0046.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0061.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0047.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0054.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0047.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0069.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0047.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0088.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0047.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0098.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0048.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0083.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0049.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0050.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0049.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0065.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0049.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0079.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0050.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0093.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0050.png,data/v2/processed/fontsense_v2/images/train/serif/Rokkitt/Rokkitt_0052.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0050.png,data/v2/processed/fontsense_v2/images/train/serif/Rokkitt/Rokkitt_0059.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0050.png,data/v2/processed/fontsense_v2/images/train/serif/Rokkitt/Rokkitt_0082.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0050.png,data/v2/processed/fontsense_v2/images/train/serif/Quattrocento/Quattrocento_0066.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0052.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0089.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0064.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0099.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0065.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0093.png,1,True,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0065.png,data/v2/processed/fontsense_v2/images/train/serif/Rokkitt/Rokkitt_0052.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0065.png,data/v2/processed/fontsense_v2/images/train/serif/Rokkitt/Rokkitt_0059.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0065.png,data/v2/processed/fontsense_v2/images/train/serif/Rokkitt/Rokkitt_0082.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0065.png,data/v2/processed/fontsense_v2/images/train/serif/Quattrocento/Quattrocento_0066.png,1,False,True,False
data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0069.png,data/v2/processed/fontsense_v2/images/train/serif/Lisu_Bosa/Lisu_Bosa_0081.png,1,True,True,False
